,model,time,params,predictive-score,fairness-score,combined-score
4,log_reg_reweighing,12.865,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'min-max', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_reweighing__estimator__penalty': 'l1', 'log_reg_reweighing__estimator__C': 50, 'log_reg_reweighing__estimator__class_weight': 'balanced', 'log_reg_reweighing__estimator__threshold': 0.7}",0.7066666666666667,0.07287561528296373,0.8392453682668463
53,log_reg_ROC_expGR,337.138,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_ROC_expGR__estimator__estimator__penalty': 'l2', 'log_reg_ROC_expGR__estimator__estimator__C': 0.1, 'log_reg_ROC_expGR__estimator__estimator__class_weight': None, 'log_reg_ROC_expGR__estimator__estimator__threshold': 0.7, 'log_reg_ROC_expGR__estimator__constraints': 'EqualizedOdds', 'log_reg_ROC_expGR__estimator__eps': 0.085, 'log_reg_ROC_expGR__estimator__max_iter': 60, 'log_reg_ROC_expGR__estimator__eta0': 2.900000000000001, 'log_reg_ROC_expGR__estimator__drop_prot_attr': False, 'log_reg_ROC_expGR__postprocessor__threshold': 0.26, 'log_reg_ROC_expGR__postprocessor__margin': 0.045}",0.7180952380952382,0.0850096767273433,0.8344948891126853
41,log_reg_CEO_reweighing,40.338,"{'preprocessing__column_transformer__quant__scaler__apply': True, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_CEO_reweighing__estimator__estimator__penalty': 'l2', 'log_reg_CEO_reweighing__estimator__estimator__C': 50, 'log_reg_CEO_reweighing__estimator__estimator__class_weight': 'balanced', 'log_reg_CEO_reweighing__estimator__estimator__threshold': 0.2, 'log_reg_CEO_reweighing__postprocessor__cost_constraint': 'fpr'}",0.6892063492063493,0.06171937376550898,0.8262587921959137
45,log_reg_ROC_reweighing,33.275,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_ROC_reweighing__estimator__estimator__penalty': 'l1', 'log_reg_ROC_reweighing__estimator__estimator__C': 1, 'log_reg_ROC_reweighing__estimator__estimator__class_weight': 'balanced', 'log_reg_ROC_reweighing__estimator__estimator__threshold': 0.9, 'log_reg_ROC_reweighing__postprocessor__threshold': 0.37999999999999995, 'log_reg_ROC_reweighing__postprocessor__margin': 0.01}",0.6857142857142857,0.06432372703437142,0.8104002522865272
21,log_reg_ROC,12.383,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_ROC__estimator__penalty': 'l1', 'log_reg_ROC__estimator__C': 1, 'log_reg_ROC__estimator__class_weight': 'balanced', 'log_reg_ROC__estimator__threshold': 0.2, 'log_reg_ROC__postprocessor__threshold': 0.44, 'log_reg_ROC__postprocessor__margin': 0.045}",0.7047619047619047,0.08261198923078539,0.8077898353482145
30,XGB_reweighing_GSR,173.371,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'min-max', 'preprocessing__column_transformer__cat__encoder__method': 'ordinal', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'XGB_reweighing_GSR__estimator__estimator__max_depth': 20, 'XGB_reweighing_GSR__estimator__estimator__reg_lambda': 0.8500000000000001, 'XGB_reweighing_GSR__estimator__estimator__n_estimators': 100, 'XGB_reweighing_GSR__estimator__estimator__eta': 0.12, 'XGB_reweighing_GSR__estimator__estimator__alpha': 0.7900000000000005, 'XGB_reweighing_GSR__estimator__constraints': 'DemographicParity', 'XGB_reweighing_GSR__estimator__constraint_weight': 0.01, 'XGB_reweighing_GSR__estimator__grid_size': 15, 'XGB_reweighing_GSR__estimator__grid_limit': 8, 'XGB_reweighing_GSR__estimator__loss': 'ZeroOne', 'XGB_reweighing_GSR__estimator__drop_prot_attr': True}",0.681904761904762,0.06549800795157161,0.7976711707480096
14,XGB_GSR,53.952,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'min-max', 'preprocessing__column_transformer__cat__encoder__method': 'ordinal', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'XGB_GSR__estimator__max_depth': 20, 'XGB_GSR__estimator__reg_lambda': 0.8500000000000001, 'XGB_GSR__estimator__n_estimators': 100, 'XGB_GSR__estimator__eta': 0.12, 'XGB_GSR__estimator__alpha': 0.7900000000000005, 'XGB_GSR__constraints': 'DemographicParity', 'XGB_GSR__constraint_weight': 0.01, 'XGB_GSR__grid_size': 15, 'XGB_GSR__grid_limit': 8, 'XGB_GSR__loss': 'ZeroOne', 'XGB_GSR__drop_prot_attr': True}",0.681904761904762,0.06549800795157161,0.7976711707480096
5,XGB_reweighing,6.745,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'min-max', 'preprocessing__column_transformer__cat__encoder__method': 'ordinal', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'XGB_reweighing__estimator__max_depth': 30, 'XGB_reweighing__estimator__reg_lambda': 0.8500000000000001, 'XGB_reweighing__estimator__n_estimators': 70, 'XGB_reweighing__estimator__eta': 0.22, 'XGB_reweighing__estimator__alpha': 0.5100000000000002}",0.6952380952380952,0.08092497807680595,0.7886445286788111
61,log_reg_ROC_GSR,233.858,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_ROC_GSR__estimator__estimator__penalty': 'l1', 'log_reg_ROC_GSR__estimator__estimator__C': 75, 'log_reg_ROC_GSR__estimator__estimator__class_weight': 'balanced', 'log_reg_ROC_GSR__estimator__estimator__threshold': 0.5, 'log_reg_ROC_GSR__estimator__constraints': 'EqualizedOdds', 'log_reg_ROC_GSR__estimator__constraint_weight': 0.56, 'log_reg_ROC_GSR__estimator__grid_size': 35, 'log_reg_ROC_GSR__estimator__grid_limit': 8, 'log_reg_ROC_GSR__estimator__loss': 'Square', 'log_reg_ROC_GSR__estimator__drop_prot_attr': True, 'log_reg_ROC_GSR__postprocessor__threshold': 0.41, 'log_reg_ROC_GSR__postprocessor__margin': 0.01}",0.7034920634920635,0.08950791492346882,0.7857087754506127
13,log_reg_GSR,131.723,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_GSR__estimator__penalty': 'l1', 'log_reg_GSR__estimator__C': 50, 'log_reg_GSR__estimator__class_weight': 'balanced', 'log_reg_GSR__estimator__threshold': 0.6, 'log_reg_GSR__constraints': 'DemographicParity', 'log_reg_GSR__constraint_weight': 0.6100000000000001, 'log_reg_GSR__grid_size': 15, 'log_reg_GSR__grid_limit': 6, 'log_reg_GSR__loss': 'Square', 'log_reg_GSR__drop_prot_attr': True}",0.7168253968253969,0.10234308530420275,0.7837899230250627
