,model,time,params,predictive-score,fairness-score,combined-score
4,log_reg_reweighing,8.047,"{'preprocessing__column_transformer__quant__scaler__apply': True, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_reweighing__estimator__penalty': 'l1', 'log_reg_reweighing__estimator__C': 1, 'log_reg_reweighing__estimator__class_weight': None, 'log_reg_reweighing__estimator__threshold': 0.9}",0.6700280112044819,0.06414453860789764,0.8068119495830595
37,log_reg_reweighing_ROC,7.369,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'ordinal', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_reweighing_ROC__estimator__estimator__penalty': 'l2', 'log_reg_reweighing_ROC__estimator__estimator__C': 0.1, 'log_reg_reweighing_ROC__estimator__estimator__class_weight': 'balanced', 'log_reg_reweighing_ROC__estimator__estimator__threshold': 0.7, 'log_reg_reweighing_ROC__estimator__postprocessor__threshold': 0.47, 'log_reg_reweighing_ROC__estimator__postprocessor__margin': 0.034999999999999996}",0.6859943977591036,0.09059314239247891,0.8053065886186256
9,log_reg_expGR,136.558,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_expGR__estimator__penalty': 'l1', 'log_reg_expGR__estimator__C': 10, 'log_reg_expGR__estimator__class_weight': 'balanced', 'log_reg_expGR__estimator__threshold': 0.7, 'log_reg_expGR__constraints': 'DemographicParity', 'log_reg_expGR__eps': 0.067, 'log_reg_expGR__max_iter': 55, 'log_reg_expGR__eta0': 2.5000000000000004, 'log_reg_expGR__drop_prot_attr': True}",0.6955182072829131,0.1084712101156982,0.801203583490834
29,log_reg_reweighing_GSR,80.958,"{'preprocessing__column_transformer__quant__scaler__apply': True, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_reweighing_GSR__estimator__estimator__penalty': 'l2', 'log_reg_reweighing_GSR__estimator__estimator__C': 100, 'log_reg_reweighing_GSR__estimator__estimator__class_weight': 'balanced', 'log_reg_reweighing_GSR__estimator__estimator__threshold': 0.6, 'log_reg_reweighing_GSR__estimator__constraints': 'TruePositiveRateParity', 'log_reg_reweighing_GSR__estimator__constraint_weight': 0.81, 'log_reg_reweighing_GSR__estimator__grid_size': 40, 'log_reg_reweighing_GSR__estimator__grid_limit': 4, 'log_reg_reweighing_GSR__estimator__loss': 'Absolute', 'log_reg_reweighing_GSR__estimator__drop_prot_attr': False}",0.7053221288515406,0.12547434677095884,0.7991160331940583
13,log_reg_GSR,79.921,"{'preprocessing__column_transformer__quant__scaler__apply': True, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_GSR__estimator__penalty': 'l2', 'log_reg_GSR__estimator__C': 100, 'log_reg_GSR__estimator__class_weight': 'balanced', 'log_reg_GSR__estimator__threshold': 0.6, 'log_reg_GSR__constraints': 'TruePositiveRateParity', 'log_reg_GSR__constraint_weight': 0.81, 'log_reg_GSR__grid_size': 40, 'log_reg_GSR__grid_limit': 4, 'log_reg_GSR__loss': 'Absolute', 'log_reg_GSR__drop_prot_attr': False}",0.7053221288515406,0.12547434677095884,0.7991160331940583
45,log_reg_ROC_reweighing,7.499,"{'preprocessing__column_transformer__quant__scaler__apply': True, 'preprocessing__column_transformer__quant__scaler__method': 'min-max', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_ROC_reweighing__estimator__estimator__penalty': 'l2', 'log_reg_ROC_reweighing__estimator__estimator__C': 30, 'log_reg_ROC_reweighing__estimator__estimator__class_weight': 'balanced', 'log_reg_ROC_reweighing__estimator__estimator__threshold': 0.8, 'log_reg_ROC_reweighing__postprocessor__threshold': 0.37999999999999995, 'log_reg_ROC_reweighing__postprocessor__margin': 0.039999999999999994}",0.6943977591036414,0.11184890495977307,0.79332785709738
25,log_reg_reweighing_expGR,137.445,"{'preprocessing__column_transformer__quant__scaler__apply': False, 'preprocessing__column_transformer__quant__scaler__method': 'standard', 'preprocessing__column_transformer__cat__encoder__method': 'one-hot', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'log_reg_reweighing_expGR__estimator__estimator__penalty': 'l1', 'log_reg_reweighing_expGR__estimator__estimator__C': 100, 'log_reg_reweighing_expGR__estimator__estimator__class_weight': 'balanced', 'log_reg_reweighing_expGR__estimator__estimator__threshold': 0.4, 'log_reg_reweighing_expGR__estimator__constraints': 'DemographicParity', 'log_reg_reweighing_expGR__estimator__eps': 0.08800000000000001, 'log_reg_reweighing_expGR__estimator__max_iter': 75, 'log_reg_reweighing_expGR__estimator__eta0': 3.500000000000001, 'log_reg_reweighing_expGR__estimator__drop_prot_attr': True}",0.684593837535014,0.09955869983142204,0.7882282620006263
26,XGB_reweighing_expGR,717.263,"{'preprocessing__column_transformer__quant__scaler__apply': True, 'preprocessing__column_transformer__quant__scaler__method': 'min-max', 'preprocessing__column_transformer__cat__encoder__method': 'ordinal', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'XGB_reweighing_expGR__estimator__estimator__max_depth': 10, 'XGB_reweighing_expGR__estimator__estimator__reg_lambda': 0.05, 'XGB_reweighing_expGR__estimator__estimator__n_estimators': 100, 'XGB_reweighing_expGR__estimator__estimator__eta': 0.16, 'XGB_reweighing_expGR__estimator__estimator__alpha': 0.9100000000000006, 'XGB_reweighing_expGR__estimator__constraints': 'TruePositiveRateParity', 'XGB_reweighing_expGR__estimator__eps': 0.064, 'XGB_reweighing_expGR__estimator__max_iter': 25, 'XGB_reweighing_expGR__estimator__eta0': 1.1000000000000003, 'XGB_reweighing_expGR__estimator__drop_prot_attr': True}",0.661344537815126,0.08462361966671034,0.7544645114569257
10,XGB_expGR,651.266,"{'preprocessing__column_transformer__quant__scaler__apply': True, 'preprocessing__column_transformer__quant__scaler__method': 'min-max', 'preprocessing__column_transformer__cat__encoder__method': 'ordinal', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'XGB_expGR__estimator__max_depth': 10, 'XGB_expGR__estimator__reg_lambda': 0.05, 'XGB_expGR__estimator__n_estimators': 100, 'XGB_expGR__estimator__eta': 0.16, 'XGB_expGR__estimator__alpha': 0.9100000000000006, 'XGB_expGR__constraints': 'TruePositiveRateParity', 'XGB_expGR__eps': 0.064, 'XGB_expGR__max_iter': 25, 'XGB_expGR__eta0': 1.1000000000000003, 'XGB_expGR__drop_prot_attr': True}",0.661344537815126,0.08462361966671034,0.7544645114569257
54,XGB_ROC_expGR,716.879,"{'preprocessing__column_transformer__quant__scaler__apply': True, 'preprocessing__column_transformer__quant__scaler__method': 'min-max', 'preprocessing__column_transformer__cat__encoder__method': 'ordinal', 'preprocessing__column_transformer__cat__imputer__apply': False, 'preprocessing__column_transformer__quant__imputer__apply': False, 'XGB_ROC_expGR__estimator__estimator__max_depth': 40, 'XGB_ROC_expGR__estimator__estimator__reg_lambda': 0.8500000000000001, 'XGB_ROC_expGR__estimator__estimator__n_estimators': 30, 'XGB_ROC_expGR__estimator__estimator__eta': 0.2, 'XGB_ROC_expGR__estimator__estimator__alpha': 0.5600000000000003, 'XGB_ROC_expGR__estimator__constraints': 'ErrorRateParity', 'XGB_ROC_expGR__estimator__eps': 0.043000000000000003, 'XGB_ROC_expGR__estimator__max_iter': 95, 'XGB_ROC_expGR__estimator__eta0': 1.1000000000000003, 'XGB_ROC_expGR__estimator__drop_prot_attr': True, 'XGB_ROC_expGR__postprocessor__threshold': 0.47, 'XGB_ROC_expGR__postprocessor__margin': 0.039999999999999994}",0.6526610644257703,0.0732858148837836,0.750637316667291
